[01/11/2020 18:08:45 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (3,2)
[01/11/2020 18:08:46 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (4,2)
[01/11/2020 18:08:47 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (4,4)
[01/11/2020 18:09:48 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (4,3)
[01/11/2020 18:09:49 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (4,4)
[01/11/2020 18:09:50 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (3,4)
[01/11/2020 18:09:50 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (3,5)
[01/11/2020 18:09:51 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (4,5)
[01/11/2020 18:11:27 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (3,4)
[01/11/2020 18:11:28 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (4,4)
[01/11/2020 18:11:29 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (3,5)
[01/11/2020 18:11:50 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (3,4)
[01/11/2020 18:11:51 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (3,5)
[01/11/2020 18:11:52 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (3,6)
[01/11/2020 18:11:53 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (2,6)
[01/11/2020 18:11:53 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (2,7)
[01/11/2020 18:11:53 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (1,7)
[01/11/2020 18:11:54 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (1,8)
[01/11/2020 18:11:54 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (3,8)
[01/11/2020 18:11:55 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (4,7)
[01/11/2020 18:11:55 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (6,5)
[01/11/2020 18:11:56 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (8,4)
[01/11/2020 18:11:56 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (6,5)
[01/11/2020 18:11:57 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (6,6)
[01/11/2020 18:11:57 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (5,6)
[01/11/2020 18:12:00 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (4,6)
[01/11/2020 18:12:01 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (2,4)
[01/11/2020 18:12:01 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (1,6)
[01/11/2020 18:12:02 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (2,7)
[04/11/2020 19:43:01 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (0,15)
[04/11/2020 19:43:10 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (1,14)
[04/11/2020 19:43:12 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (2,13)
[04/11/2020 19:43:49 (UTC)] - [Log] - [GameManager.cs] - [TileClicked]:	clicked (0,13)
